year,month,day,hour,총생활인구수
2017,1,8,19,44166.2116
2017,1,8,20,44440.0732
2017,1,8,21,45145.0191
2017,1,8,22,45780.2295
2017,1,8,23,47063.8276
2017,1,9,0,47624.4334
2017,1,9,1,47477.7608
2017,1,9,2,47356.0664
2017,1,9,3,47449.2047
2017,1,9,4,47715.7001
2017,1,9,5,47845.1175
2017,1,9,6,47818.6406
2017,1,9,7,48032.9246
2017,1,9,8,45152.4765
2017,1,9,9,43226.4605
2017,1,9,10,42236.671
2017,1,9,11,41375.0924
2017,1,9,12,40912.5685
2017,1,9,13,40088.7038
2017,1,9,14,40471.4906
2017,1,9,15,39808.2376
2017,1,9,16,39752.015
2017,1,9,17,40559.8801
2017,1,9,18,41260.1601
2017,1,9,19,42134.7238
2017,1,9,20,43384.9226
2017,1,9,21,44662.4208
2017,1,9,22,45542.57
2017,1,9,23,46573.2623
2017,1,10,0,46930.141
2017,1,10,1,46997.3777
2017,1,10,2,46939.4629
2017,1,10,3,47182.6315
2017,1,10,4,47368.2774
2017,1,10,5,47177.114
2017,1,10,6,47634.9301
2017,1,10,7,47848.5172
2017,1,10,8,45003.161
2017,1,10,9,43694.5583
2017,1,10,10,43346.6903
2017,1,10,11,41521.8093
2017,1,10,12,41544.4429
2017,1,10,13,40762.6401
2017,1,10,14,39427.8581
2017,1,10,15,39213.6393
2017,1,10,16,39602.6114
2017,1,10,17,39497.7352
2017,1,10,18,40526.2942
2017,1,10,19,40751.9917
2017,1,10,20,41845.631
2017,1,10,21,43564.2337
2017,1,10,22,45058.6396
2017,1,10,23,46518.112
2017,1,11,0,46914.9958
2017,1,11,1,46977.7567
2017,1,11,2,47090.3631
2017,1,11,3,46992.4299
2017,1,11,4,47195.3218
2017,1,11,5,47517.2386
2017,1,11,6,47702.8014
2017,1,11,7,47886.3163
2017,1,11,8,44831.8564
2017,1,11,9,43861.8249
2017,1,11,10,44431.119
2017,1,11,11,43058.0773
2017,1,11,12,42256.0437
2017,1,11,13,41790.9426
2017,1,11,14,41190.8087
2017,1,11,15,40303.2519
2017,1,11,16,40938.5599
2017,1,11,17,41482.6974
2017,1,11,18,41665.2248
2017,1,11,19,42654.3193
2017,1,11,20,43006.3907
2017,1,11,21,44857.0177
2017,1,11,22,45913.9557
2017,1,11,23,46406.5114
2017,1,12,0,46962.2829
2017,1,12,1,47126.8971
2017,1,12,2,46989.3424
2017,1,12,3,47071.0136
2017,1,12,4,47367.9363
2017,1,12,5,47080.4642
2017,1,12,6,47280.6836
2017,1,12,7,47251.2634
2017,1,12,8,44823.8411
2017,1,12,9,43267.9466
2017,1,12,10,43186.7367
2017,1,12,11,41586.6637
2017,1,12,12,41441.9183
2017,1,12,13,40860.9078
2017,1,12,14,40242.8571
2017,1,12,15,39782.2217
2017,1,12,16,40150.6308
2017,1,12,17,40101.098
2017,1,12,18,41098.0591
2017,1,12,19,42150.2299
2017,1,12,20,43243.4436
2017,1,12,21,44124.5117
2017,1,12,22,44679.7372
2017,1,12,23,46131.5067
2017,1,13,0,46068.1115
2017,1,13,1,46820.3263
2017,1,13,2,47326.0443
2017,1,13,3,46959.0033
2017,1,13,4,47371.152
2017,1,13,5,47567.6991
2017,1,13,6,47953.6263
2017,1,13,7,48058.1358
2017,1,13,8,45932.5868
2017,1,13,9,45232.1145
2017,1,13,10,43741.3756
2017,1,13,11,42376.8876
2017,1,13,12,42722.3479
2017,1,13,13,42596.2942
2017,1,13,14,42294.7392
2017,1,13,15,41966.6968
2017,1,13,16,42165.3956
2017,1,13,17,42182.3643
2017,1,13,18,41821.1745
2017,1,13,19,43575.8377
2017,1,13,20,44602.3034
2017,1,13,21,45043.4253
2017,1,13,22,45960.4227
2017,1,13,23,47467.7314
2017,1,14,0,48293.8007
2017,1,14,1,48498.8126
2017,1,14,2,48594.0275
2017,1,14,3,48877.894
2017,1,14,4,49398.5974
2017,1,14,5,49401.2752
2017,1,14,6,49776.1461
2017,1,14,7,49673.3448
2017,1,14,8,49855.0898
2017,1,14,9,49179.4529
2017,1,14,10,48729.2521
2017,1,14,11,48654.8637
2017,1,14,12,47165.5896
2017,1,14,13,45796.7786
2017,1,14,14,45081.9835
2017,1,14,15,45164.6534
2017,1,14,16,45102.1311
2017,1,14,17,44113.3254
2017,1,14,18,44961.3388
2017,1,14,19,45088.219
2017,1,14,20,46297.0365
2017,1,14,21,46751.859
2017,1,14,22,47261.9687
2017,1,14,23,47338.7179
2017,1,15,0,48083.9542
